,armor,attacker_X,attacker_Y,attacker_Z,attacker_health,attacker_place,attacker_name,attacker_steamid,attacker_team_clan_name,attacker_side,attacker_total_rounds_played,ct_team_clan_name,ct_side,dmg_armor,dmg_health,health,hitgroup,t_team_clan_name,t_side,tick,total_rounds_played,user_X,user_Y,user_Z,user_health,user_place,user_name,user_steamid,user_team_clan_name,user_side,user_total_rounds_played,weapon
127,0,2.2642245,2511.9546,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,84,generic,FaZe Clan,t,46958,4,640.03064,2444.1199,189.03125,92,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
128,0,2.017143,2514.4136,161.03125,100.0,BombsiteB,jL,7.65611981768783e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,76,generic,FaZe Clan,t,46971,4,640.031,2439.0312,189.03125,84,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
129,87,446.48395,2448.5244,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,2,98,generic,FaZe Clan,t,47004,4,862.99023,2599.8047,140.0843,100,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
130,87,430.69528,2447.8057,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,3,95,generic,FaZe Clan,t,47017,4,862.915,2605.7083,140.0843,98,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
131,0,430.69528,2447.8057,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,3,76,generic,FaZe Clan,t,47017,4,830.11615,2536.206,140.0843,79,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
132,87,447.06598,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,4,91,generic,FaZe Clan,t,47029,4,863.51294,2600.6729,140.0843,95,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
133,0,447.06598,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,4,72,generic,FaZe Clan,t,47029,4,834.32776,2568.6416,140.0843,76,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
134,87,479.7967,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,4,87,generic,FaZe Clan,t,47042,4,862.4584,2617.111,140.0843,91,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
135,0,479.7967,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,4,68,generic,FaZe Clan,t,47042,4,837.3999,2552.0234,140.0843,72,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
136,87,495.7122,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,5,82,generic,FaZe Clan,t,47055,4,863.4449,2651.5261,140.0843,87,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
139,0,471.5292,2442.3672,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,6,70,generic,FaZe Clan,t,47068,4,646.07416,2495.392,189.03125,76,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
140,81,471.5292,2442.3672,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,6,24,generic,FaZe Clan,t,47068,4,867.0536,2659.227,140.0843,30,BombsiteB,ropz,76561197991272318,FaZe Clan,t,4,inferno
142,0,436.99713,2443.8591,168.03123,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,7,63,generic,FaZe Clan,t,47081,4,652.332,2517.9153,189.03125,70,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
143,0,436.99713,2443.8591,168.03123,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,7,61,generic,FaZe Clan,t,47081,4,863.9711,2561.9346,140.0843,68,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
144,0,430.85794,2439.876,168.03123,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,55,generic,FaZe Clan,t,47093,4,653.7525,2521.7908,189.03125,63,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
145,0,430.85794,2439.876,168.03123,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,53,generic,FaZe Clan,t,47093,4,863.44324,2603.7805,140.0843,61,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
146,0,451.02045,2442.2515,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,47,generic,FaZe Clan,t,47106,4,649.8798,2523.8518,189.03125,55,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
147,0,451.02045,2442.2515,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,45,generic,FaZe Clan,t,47106,4,860.6462,2643.3154,140.0843,53,BombsiteB,frozen,76561198068422762,FaZe Clan,t,4,inferno
150,0,485.9476,2439.0312,167.03125,85.0,BombsiteB,Aleksib,7.656119801324333e+16,Natus Vincere,ct,4.0,Natus Vincere,ct,0,8,39,generic,FaZe Clan,t,47119,4,646.9667,2544.556,189.03125,47,BombsiteB,karrigan,76561197989430253,FaZe Clan,t,4,inferno
