,armor,attacker_4k_rounds_total,attacker_X,attacker_Y,attacker_Z,attacker_ct_losing_streak,attacker_current_equip_value,attacker_health,attacker_is_ct_timeout,attacker_is_terrorist_timeout,attacker_place,attacker_name,attacker_steamid,attacker_t_losing_streak,attacker_team_clan_name,attacker_side,attacker_total_rounds_played,ct_losing_streak,ct_team_clan_name,ct_side,dmg_armor,dmg_health,health,hitgroup,is_ct_timeout,is_terrorist_timeout,t_losing_streak,t_team_clan_name,t_side,tick,total_rounds_played,user_4k_rounds_total,user_X,user_Y,user_Z,user_ct_losing_streak,user_current_equip_value,user_health,user_is_ct_timeout,user_is_terrorist_timeout,user_place,user_name,user_steamid,user_t_losing_streak,user_team_clan_name,user_side,user_total_rounds_played,weapon,total_dmg
96,100,0.0,423.67413,1762.0472,134.03122,1.0,4600.0,94.0,False,False,Banana,jL,7.65611981768783e+16,1.0,Natus Vincere,ct,3.0,1.0,Natus Vincere,ct,0,8,68,generic,False,False,1.0,FaZe Clan,t,33101,3,0.0,78.64788,1377.0669,101.95754,1.0,2400.0,76,False,False,Banana,karrigan,76561197989430253,1.0,FaZe Clan,t,3,inferno,8
98,64,0.0,868.8561,2183.755,136.36627,1.0,4700.0,100.0,False,False,Banana,Aleksib,7.656119801324333e+16,1.0,Natus Vincere,ct,3.0,1.0,Natus Vincere,ct,32,49,0,generic,False,False,1.0,FaZe Clan,t,33634,3,0.0,423.7483,1761.9598,134.03122,1.0,4700.0,40,False,False,Banana,karrigan,76561197989430253,1.0,FaZe Clan,t,3,hegrenade,81
114,0,0.0,816.2849,2524.6062,136.03146,0.0,5600.0,100.0,False,False,BombsiteB,Aleksib,7.656119801324333e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,2,98,generic,False,False,2.0,FaZe Clan,t,45161,4,0.0,173.96722,1016.2146,85.561714,0.0,200.0,100,False,False,Banana,frozen,76561198068422762,2.0,FaZe Clan,t,4,hegrenade,2
115,0,0.0,2530.5332,-98.525635,96.66715,0.0,6100.0,100.0,False,False,Pit,b1t,7.656119824660747e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,1,99,generic,False,False,2.0,FaZe Clan,t,46046,4,0.0,1277.8604,564.04193,125.03125,0.0,200.0,100,False,False,Middle,rain,76561197997351207,2.0,FaZe Clan,t,4,hegrenade,1
116,0,0.0,1.0299629,2673.828,161.03125,0.0,5500.0,100.0,False,False,BombsiteB,jL,7.65611981768783e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,1,97,generic,False,False,2.0,FaZe Clan,t,46651,4,0.0,655.86206,2486.8635,189.03125,0.0,200.0,98,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,1
117,0,0.0,1.0313703,2643.7334,161.03125,0.0,5500.0,100.0,False,False,BombsiteB,jL,7.65611981768783e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,2,95,generic,False,False,2.0,FaZe Clan,t,46664,4,0.0,647.1868,2486.3203,189.03125,0.0,200.0,97,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,2
118,0,0.0,1.0291644,2602.927,161.03125,0.0,5500.0,100.0,False,False,BombsiteB,jL,7.65611981768783e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,3,92,generic,False,False,2.0,FaZe Clan,t,46677,4,0.0,647.2076,2469.2285,189.03125,0.0,200.0,95,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,3
120,0,0.0,1.1506908,2562.6453,161.03125,0.0,5500.0,100.0,False,False,BombsiteB,jL,7.65611981768783e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,4,88,generic,False,False,2.0,FaZe Clan,t,46689,4,0.0,655.1418,2439.0312,189.03125,0.0,200.0,92,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,4
122,0,0.0,1.5180379,2531.5173,161.03125,0.0,5500.0,100.0,False,False,BombsiteB,jL,7.65611981768783e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,4,84,generic,False,False,2.0,FaZe Clan,t,46702,4,0.0,663.80096,2439.373,182.21582,0.0,200.0,88,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,4
125,0,0.0,1.4269322,2530.8787,161.03125,0.0,5500.0,100.0,False,False,BombsiteB,jL,7.65611981768783e+16,2.0,Natus Vincere,ct,4.0,0.0,Natus Vincere,ct,0,5,79,generic,False,False,2.0,FaZe Clan,t,46715,4,0.0,672.6059,2439.3699,144.94386,0.0,200.0,84,False,False,BombsiteB,frozen,76561198068422762,2.0,FaZe Clan,t,4,inferno,5
