,round_num,clutcher_steamid,clutcher_team_side,opponents_at_start,clutch_kills,clutch_outcome,round_won,clutcher_survived_round,match_name,file_id,event_id
184,14,76561198055109028,ct,5,0,save,False,True,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
185,15,76561198055109028,ct,4,1,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
186,16,76561197995817501,ct,4,1,save,False,True,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
187,17,76561198812513923,t,5,1,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
188,18,76561198044118796,t,3,0,lost,False,False,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
189,19,76561198083485506,t,4,0,save,False,True,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,4415,1
190,1,76561197995817501,ct,4,1,save,False,True,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
191,2,76561198044118796,t,2,1,lost,True,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
192,3,76561198083485506,t,2,0,save,False,True,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
193,4,76561198083485506,t,4,1,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
194,5,76561198083485506,t,5,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
195,7,76561198083485506,t,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
196,10,76561197967432889,t,3,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
197,11,76561197995817501,ct,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
198,12,76561198083485506,t,4,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
199,13,76561198083485506,ct,4,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
200,15,76561198410750263,ct,4,0,save,False,True,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
201,16,76561198044045107,t,2,2,won,True,True,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
202,17,76561197967432889,ct,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
203,18,76561198055109028,t,2,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
204,19,76561198083485506,ct,5,1,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
205,20,76561198055109028,t,3,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
206,21,76561198044045107,t,4,1,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
207,22,76561198055109028,t,3,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
208,23,76561198014259134,t,4,0,lost,False,False,eternal-fire-vs-virtus-pro-m3-train-p3.dem,4416,1
